"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
12296,139900,2014-01-07,NA,NA,168140,75670
12297,0,1975-06-19,NA,NA,228200,98210
12298,0,2025-08-08,NA,NA,230440,104650
12299,115000,2019-05-13,NA,NA,115500,76300
12300,350000,2012-05-04,NA,NA,322770,234220
12301,268000,2019-01-23,NA,NA,219520,173950
12302,0,1965-12-14,NA,NA,1049860,933660
12303,69900,2000-06-05,NA,NA,338240,231420
12304,325000,2012-05-14,NA,NA,310450,214270
12305,140000,1992-06-01,NA,NA,331310,240870
12306,160000,1992-03-25,NA,NA,314860,210980
12307,387000,2024-08-28,NA,NA,262360,182840
12308,0,2010-05-24,NA,NA,231700,152950
12309,265000,2004-02-02,NA,NA,271040,175490
12310,350000,2002-01-08,NA,NA,321020,222530
12311,0,1986-12-17,NA,NA,273070,186060
12312,0,2014-07-11,NA,NA,213430,125300
12313,398522,2025-05-02,NA,NA,216930,143640
12314,201800,1996-02-16,NA,NA,307580,206290
12315,220262,2003-09-17,NA,NA,279720,177590
12316,0,2020-05-18,NA,NA,254450,162680
12317,350000,2024-06-13,NA,NA,259070,146650
12318,0,2024-06-25,NA,NA,248850,155400
12319,0,2004-10-06,NA,NA,277130,183120
12320,175000,2001-08-17,NA,NA,238630,147840
12321,180000,2018-08-17,NA,NA,256270,168560
12322,0,2015-07-01,NA,NA,237160,149660
12323,367000,2022-10-03,NA,NA,266420,163030
12324,319000,2020-12-04,NA,NA,272650,175560
12325,0,2022-04-27,NA,NA,263620,166040
12326,313500,2007-05-18,NA,NA,233380,144620
12328,0,1981-06-11,NA,NA,293230,190960
12329,0,2008-02-07,NA,NA,254800,168280
12330,285000,2004-09-01,NA,NA,243390,154700
12331,0,1992-03-23,NA,NA,178710,122500
12332,110000,1995-10-30,NA,NA,204540,133070
12333,3e+05,2022-07-07,NA,NA,233450,162400
12334,2e+05,2006-01-13,NA,NA,198240,128030
12335,209000,2018-05-07,NA,NA,198240,132650
12336,0,2021-02-22,0,2009-06-22,255570,163940
12337,0,1985-11-14,NA,NA,235620,153860
12338,0,2024-05-23,NA,NA,192920,124460
12339,280000,2021-06-15,NA,NA,204540,134820
12340,155000,2001-08-02,NA,NA,203770,140630
12341,235000,2007-10-10,NA,NA,204120,138600
12342,130000,1998-07-22,NA,NA,199360,127540
12343,192500,2019-08-14,NA,NA,193620,124180
12344,0,2020-12-02,NA,NA,230510,145740
12345,220000,2016-05-17,164500,2009-07-06,191590,131600
12346,307500,2025-03-28,NA,NA,183890,119840
12347,217000,2019-05-09,NA,NA,192290,128380
12348,140000,2017-06-13,NA,NA,55860,39410
12349,150000,2000-04-27,NA,NA,253190,161910
12350,260000,2021-06-22,NA,NA,240870,163170
12351,0,2007-01-05,NA,NA,271180,185570
12352,155000,1999-12-01,NA,NA,240450,151690
12353,348750,2023-11-17,NA,NA,224770,141260
12354,0,1974-07-17,NA,NA,239400,156800
12355,249900,2017-12-26,276000,2009-07-17,232470,143570
12356,305000,2023-04-17,NA,NA,218400,132580
12357,240000,2009-07-17,240000,2009-07-17,266350,171360
12358,310000,2004-07-23,NA,NA,277200,177940
12359,260000,2021-04-15,NA,NA,209580,140350
12360,5000,2001-03-27,NA,NA,240310,140560
12361,3e+05,2005-05-11,NA,NA,207760,136080
12362,117500,1997-10-22,NA,NA,205450,138740
12363,1e+05,1995-04-04,NA,NA,200200,131810
12364,255000,2022-12-06,NA,NA,234570,158060
12365,245000,2021-03-30,NA,NA,257810,170100
12366,0,2023-10-12,NA,NA,191030,125090
12367,0,1976-08-17,NA,NA,236880,154700
12368,362500,2022-06-14,NA,NA,304150,189350
12369,260000,2016-12-12,NA,NA,300020,174580
12370,130000,2008-01-23,NA,NA,170030,119980
12371,152500,2016-07-25,NA,NA,226660,153580
12372,235000,2006-05-23,NA,NA,203910,126280
12373,120000,2012-03-23,NA,NA,199290,137340
12374,205000,2025-07-14,NA,NA,194180,132650
12375,174900,1999-06-21,NA,NA,259700,171850
12376,325000,2021-05-19,NA,NA,256200,161420
12377,275000,2014-08-25,NA,NA,290430,202930
12378,335000,2025-02-20,NA,NA,242410,157290
12379,0,1971-03-15,NA,NA,273350,185360
12380,4e+05,2024-06-03,NA,NA,256760,169540
12381,233000,2015-07-29,NA,NA,238070,159950
12382,373000,2004-12-10,NA,NA,306810,200690
12383,319000,2016-07-20,NA,NA,258090,175910
12384,345000,2021-06-10,NA,NA,269570,184380
12385,270000,2020-04-01,NA,NA,267680,188230
12386,0,2008-05-28,NA,NA,278740,190330
12387,153000,1998-04-01,NA,NA,262360,174650
12388,402500,2006-09-11,NA,NA,276290,195720
12389,0,2022-10-18,NA,NA,260610,173040
12390,297000,2018-06-20,NA,NA,282240,192500
12391,385000,2022-08-03,NA,NA,278530,189560
12392,0,1992-06-15,NA,NA,229110,150780
12393,2e+05,2015-05-19,NA,NA,275520,180040
12394,330000,2012-03-13,NA,NA,353290,217280
12395,0,2005-02-18,NA,NA,252630,180110
12396,390000,2007-03-13,NA,NA,268590,180390
12397,215000,1991-07-11,NA,NA,288330,193130
12398,389000,2022-09-13,NA,NA,285390,173460
12399,265000,2020-11-25,NA,NA,246540,172690
12400,290000,2014-11-07,NA,NA,259000,189140
12401,0,1958-11-14,NA,NA,1079680,996730
12402,290000,2010-06-25,NA,NA,288610,166180
12403,270000,2020-09-29,NA,NA,235340,183820
12404,186000,2010-01-15,NA,NA,193620,124600
12405,122000,2012-05-01,NA,NA,216860,153930
12406,271250,2001-04-27,NA,NA,290920,207620
12407,516500,2024-07-19,NA,NA,352170,217420
12408,58000,1994-04-12,NA,NA,311780,228830
12409,270000,2024-08-20,NA,NA,232400,162400
12410,124000,1995-08-18,NA,NA,236530,147560
12411,410000,2024-01-17,NA,NA,244650,138320
12412,224900,2015-06-30,NA,NA,238070,161140
12413,197500,2023-11-28,NA,NA,152390,111510
12414,250000,2005-03-23,NA,NA,131110,103880
12415,225000,2024-01-03,NA,NA,154840,112770
12416,1e+05,1994-12-09,NA,NA,131110,103880
