"pid","sale_price","sale_date","total_2024","total_2023","building_2024","building_2023","extra_2024","extra_2023","outb_2024","outb_2023","land_2024","land_2023"
15746,58000,1996-11-13,292390,210000,241220,169400,3010,2240,0,0,48160,38360
15747,0,2008-02-22,332640,241990,281260,201250,2730,1960,0,0,48650,38780
15748,0,2010-09-22,373590,264530,263060,177870,3010,2240,17010,13650,90510,70770
15749,328000,2021-02-19,281820,167720,162260,68950,2660,1820,11410,8540,105490,88410
15751,0,1985-08-29,224420,146020,162120,102340,0,0,0,0,62300,43680
15752,110000,2005-04-15,270130,166950,194670,113750,0,0,6790,5110,68670,48090
15753,64000,1990-12-10,303660,210980,229390,156940,10430,6440,0,0,63840,47600
15754,128000,1998-08-03,214690,136430,142520,85610,0,0,5040,3780,67130,47040
15756,0,1987-01-02,262220,193410,217140,157780,2800,1960,0,0,42280,33670
15757,470000,2023-04-10,283150,229740,228690,186410,2730,2100,9240,7420,42490,33810
15758,230000,2015-06-23,248150,177100,203140,141470,2730,1960,0,0,42280,33670
15759,0,2017-08-03,264740,195790,218330,159110,2800,1960,0,0,43610,34720
15760,163000,1999-08-12,251300,181090,203210,143080,2800,1960,0,0,45290,36050
15761,0,1972-05-02,83370,79100,0,0,0,0,0,0,83370,79100
15762,289000,2011-09-01,250460,172270,191730,131180,1820,1260,0,0,56910,39830
15763,379900,2023-01-06,305550,175000,248990,135380,0,0,0,0,56560,39620
15764,3e+05,2022-05-18,236320,152600,178430,111930,2870,2100,0,0,55020,38570
15765,0,1987-05-22,290290,180810,228900,137060,5110,4340,0,0,56280,39410
15766,0,2015-07-20,271320,172060,202160,123200,2940,2100,9660,7140,56560,39620
15767,0,1986-06-27,244090,153300,185990,112840,0,0,1820,1050,56280,39410
15768,235000,2020-10-28,242900,158690,177030,112490,2870,2100,0,0,63000,44100
15769,280000,2008-10-01,245840,155260,186830,113890,0,0,0,0,59010,41370
15770,349900,2020-09-15,332710,242200,256550,194180,5460,2030,5040,0,65660,45990
15771,1,2019-04-15,253540,153440,195440,112770,0,0,0,0,58100,40670
15772,227000,2003-12-08,277340,192010,218050,150430,0,0,0,0,59290,41580
15773,310000,2022-08-02,222880,140070,164780,100240,0,0,1190,0,56910,39830
15774,325000,2023-03-31,247100,157150,184800,113470,0,0,0,0,62300,43680
15775,0,1991-04-10,245490,156170,180950,110880,0,0,1050,840,63490,44450
15776,287000,2005-09-16,215880,141190,154700,98000,0,0,0,350,61180,42840
15777,227000,2009-11-20,219450,140210,163170,100800,0,0,0,0,56280,39410
15778,158500,1994-11-10,222110,140420,165550,100380,0,0,0,420,56560,39620
15779,315000,2021-12-09,241290,155470,182140,114030,2870,2030,0,0,56280,39410
15780,247000,2016-11-02,226310,144270,170030,104860,0,0,0,0,56280,39410
15781,0,1987-06-19,251090,156940,185710,117320,8820,0,0,0,56560,39620
15782,0,1982-09-15,200690,130760,144410,91350,0,0,0,0,56280,39410
15783,310000,2005-09-13,272230,174930,214410,134330,0,0,1260,980,56560,39620
15784,356000,2022-12-01,243320,150640,184800,110180,0,0,700,0,57820,40460
15785,213000,2021-08-17,253260,159250,193760,117180,0,0,0,350,59500,41720
15786,347000,2019-05-13,282030,252070,233030,214970,5110,2100,0,0,43890,35000
15787,41000,1997-07-10,381080,284130,333970,245630,3080,2240,0,0,44030,36260
15788,308500,2011-11-01,266770,194040,217070,154700,2940,2100,0,0,46760,37240
15789,450000,2022-02-14,360150,234290,305620,191450,3150,2240,1330,630,50050,39970
